Date,Link,Username,Password,Comments
1/15/2018,Amazon.com,me@mydomain.com,Amazon123,Free shipping sort of!
2/17/2018,Ebay.com,me@mydomain.com,Ebay123,"main, foofighters,billy,prius"
4/19/2018,ESPN.com,KnuteRockne2018,ESPN123,Bring your game
3/15/2018,Facebook.com,me@mydomain.com,FB123,What are you up to?
3/7/2018,Google.com,foobar@gmail.com,Google123,Searching searching searching
4/9/2018,IMDb.com,MovieMad2018,IMDb123,"""I want to be alone"" -- Greta Garbo, Grand Hotel, William Drake"
6/9/2018,imgur,me@mydomain.com,imgur123,pics for everyone
5/5/2018,Instagram.com,DaffyDill2018,Insta123,Be sure to share pics from airplane window
4/27/2018,Linkedin.com,me@proMail.com,Linked123,Professionalism is the key to success
5/30/2018,Live.com,me@outlook.com,Live123,All my Microsoft products
7/30/2018,Netflix.com,CineMe2018,Netflix123,? and chill
6/25/2018,Office.com,will.gates@outlook.com,Office123,Can't live without it
6/17/2018,Paypal.com,myMoney2018,Paypal123,"Before Tesla, before SpaceX"
6/9/2018,Pinterest.com,TerraPin2018,Pinterest123,"What fun, pin everything"
7/12/2018,Reddit.com,ThorHammer2018,Reddit123,This is where I live
9/11/2018,Twitch.Tv,GamerDude2018,Twitch123,Watch me collect magic coins
8/7/2018,Twitter.com,SuperTwit2018,Twitter123,Keeping up with the White House
7/30/2018,Wikipedia.org,guest2018,Wiki123,"Here lies World Book, RIP"
9/1/2018,Yahoo.com,HooBoy2018,Yahoo123,Not sure what's next but Yahoo!
11/1/2018,YouTube.com,foobar@gmail.com,Youtube123,Seven hours later where did the time go
